Date d'Affectation,Poste,Matricule,Arrêt,Qualité,Horaire,Type,Remplacant,Jour,Placement,Jr_pl
,705,655,,,Jour,,1483,4,,
,265,656,,,Jour,,1522,7,,
,275,657,,,Jour,,1713,6,,
,160,658,,,Jour,,907,6,,
,831,659,,,Jour,,220,4,,
,24,660,,,Jour,,1253,6,,
,327,661,,,Jour,,375,4,,
,23,664,,,Jour,,1988,7,,
,688,665,,,Jour,,318,6,,
,80,666,,,Jour,,88,6,,
,588,667,,,Jour,,909,7,,
,846,669,,,Jour,,150,6,,
,241,670,17/08/2014,,Jour,,1774,5,,
19/08/2014,241,670,,,Jour,,1957,5,,
,399,671,04/08/2014,,Jour,,1353,7,,
25/08/2014,328,671,,,Nuit,,1533,7,,
,395,672,,,Jour,,772,7,,
,78,673,,,Jour,,1720,7,,
,433,674,,,Jour,,1686,7,,
,324,675,,,Jour,,1227,2,,
,539,676,,,Jour,,1203,6,,
,21,677,,,Jour,,1776,7,,
,571,678,,,Jour,,471,1,,
,584,679,,,Jour,,91,1,,
,610,680,,,Jour,,1014,7,,
,59,682,,,Jour,,,2,,
,648,683,,,Jour,,70,1,,
,773,684,,,Jour,,2025,4,,
,283,686,,,Jour,,18,7,,
,215,687,,,Jour,,1409,6,,
,496,688,,,Jour,,772,6,,
,371,689,03/08/2014,,Jour,,1867,7,,
,639,690,,,Jour,,1522,5,,
,397,691,,,Jour,,1938,6,,
,401,692,,,Jour,,1712,7,,
,750,693,,,Jour,,1405,2,,
,402,694,,,Jour,,1945,5,,
,348,695,,,Jour,,190,6,,
05/08/2014,559,696,,,Jour,,1863,6,,
,245,696,03/08/2014,,Jour,,527,3,,
,10,697,,,Jour,,1481,7,,
,809,698,,,Jour,,804,3,,
,555,699,,,Jour,,1635,6,,
,799,700,,,Jour,,1946,1,,
,335,701,,,Jour,,1358,6,,
,312,702,,,Jour,,1331,7,,
,83,704,,,Jour,,1800,6,,
,344,705,,,Jour,,26,2,,
,297,706,,,Jour,,1441,4,,
,251,707,,,Jour,,1200,1,,
,550,708,01/08/2014,,Jour,,1862,1,,
,582,709,,,Jour,,1809,6,,
,89,710,,,Jour,,255,7,,
,349,711,,,Jour,,1630,7,,
,301,712,,,Jour,,1707,7,,
,645,713,,,Jour,,1407,7,,
,472,714,,,Jour,,1557,6,,
,34,715,22/08/2014,,Jour,,1280,7,,
,11,716,,,Jour,,470,7,,
,720,717,21/08/2014,,Jour,,1726,1,,
,305,718,,,Jour,,1625,6,,
,198,719,,,Jour,,908,3,,
,306,721,,,Jour,,1378,1,,
,391,722,,,Jour,,1129,5,,
,288,723,,,Jour,,282,5,,
,27,724,22/08/2014,,Jour,,1557,2,,
,787,725,,,Jour,,1543,7,,
,310,726,,,Jour,,1616,6,,
,363,727,,,Jour,,1742,7,,
,154,728,22/08/2014,,Jour,,1307,7,,
,320,729,,,Jour,,1322,7,,
,209,730,,,Jour,,911,2,,
,318,731,04/08/2014,,Jour,,166,6,,
22/08/2014,318,731,,,Jour,,166,6,,
,318,732,23/08/2014,,Jour,,166,7,,
,305,733,,,Jour,,1625,7,,
,767,734,,,Jour,,293,1,,
01/08/2014,902,739,09/08/2014,,Jour,,,,,
,643,739,06/08/2014,,Jour,,1811,6,,
,585,740,31/07/2014,,Jour,,903,6,,
,735,741,28/07/2014,,Jour,,1524,5,,
,384,742,,,Jour,,2028,6,,
,456,743,,,Jour,,2,6,,
,256,744,,,Jour,,66,7,,
,600,745,,,Jour,,14,3,,
,632,746,,,Jour,,1723,7,,
,361,747,,,Jour,,900,2,,
,533,748,,,Jour,,761,5,,
,686,749,,,Jour,,220,7,,
,618,750,,,Jour,,228,6,,
,603,751,,,Jour,,54,1,,
,218,752,,,Jour,,1359,7,,
,646,753,,,Jour,,1413,5,,
,327,754,,,Jour,,454,2,,
,677,755,,,Jour,,204,7,,
,758,756,,,Jour,,1246,7,,
,776,757,,,Jour,,1683,7,,
,578,758,,,Jour,,892,5,,
,100,759,,,Jour,,224,7,,
,838,760,,,Jour,,1720,1,,
,326,762,22/08/2014,,Jour,,1773,3,,
,929,762,,,Jour,,,,,
,277,764,,,Jour,,720,7,,
,51,766,,,Jour,,205,6,,
05/08/2014,368,767,25/08/2014,,Jour,,88,5,,
,266,767,04/08/2014,,Jour,,1253,7,,
,18,768,,,Jour,,27,6,,
,54,769,,,Jour,,1943,7,,
,26,770,,,Jour,,1338,7,,
,43,773,,,Jour,,426,1,,
,186,774,,,Jour,,2037,7,,
,696,775,,,Jour,,39,4,,
,415,776,,,Jour,,1352,5,,
,324,777,,,Jour,,1227,5,,
,813,778,,,Jour,,1712,5,,
,678,779,,,Jour,,1335,7,,
,601,780,,,Jour,,14,4,,
,327,781,,,Jour,,454,2,,
,327,782,,,Jour,,454,6,,
,783,783,,,Jour,,1862,7,,
,358,784,,,Jour,,1714,6,,
,327,785,,,Jour,,454,3,,
,327,786,,,Jour,,454,7,,
,689,787,,,Jour,,1700,2,,
,431,788,,,Jour,,137,6,,
,549,789,,,Jour,,1703,7,,
,17,790,,,Jour,,102,7,,
,531,791,,,Jour,,1345,3,,
,353,792,,,Jour,,1340,7,,
,730,793,,,Jour,,1454,5,,
,671,794,,,Jour,,765,6,,
,646,795,,,Jour,,1413,1,,
,738,796,14/08/2014,,Jour,,894,1,,
,332,797,,,Jour,,1516,7,,
,332,798,,,Jour,,85,7,,
,332,799,,,Jour,,85,6,,
,65,800,,,Jour,,895,1,,
,225,801,22/08/2014,,Jour,,1773,7,,
,770,802,19/08/2014,,Jour,,129,7,,
,455,803,18/08/2014,,Jour,,1501,7,,
,814,805,,,Jour,,1358,7,,
,326,806,22/08/2014,,Jour,,1772,3,,
,342,807,,,Jour,,605,7,,
,609,808,,,Jour,,159,7,,
,760,809,,,Jour,,1812,7,,
,723,810,,,Jour,,284,6,,
,765,811,,,Jour,,95,7,,
,552,812,,,Jour,,1832,6,,
,488,813,,,Jour,,1817,7,,
22/08/2014,834,814,,,Jour,,149,7,,
,834,814,01/08/2014,,Jour,,735,7,,
,157,816,,,Jour,,67,6,,
,380,817,,,Jour,,1177,4,,
,346,818,,,Jour,,1680,2,,
,466,819,,,Jour,,1496,3,,
,807,820,,,Jour,,1839,7,,
,190,821,,,Jour,,1652,3,,
,247,825,,,Jour,,1839,6,,
,489,826,,,Jour,,859,7,,
,39,828,,,Jour,,1140,2,,
,24,829,,,Jour,,471,6,,
,360,830,,,Jour,,1345,6,,
,655,831,,,Jour,,60,4,,
,391,833,,,Jour,,1129,1,,
,547,834,,,Jour,,703,7,,
,502,835,,,Jour,,98,5,,
,617,836,,,Jour,,1345,4,,
,270,837,,,Jour,,157,4,,
,178,838,,,Jour,,572,1,,
,573,839,,,Jour,,61,1,,
,397,841,,,Jour,,1140,6,,
,232,842,,,Jour,,1358,5,,
,375,843,01/08/2014,,Jour,,1536,3,,
,245,844,03/08/2014,,Jour,,913,2,,
,77,844,,,Jour,,1473,3,,
07/08/2014,798,845,,,Jour,,108,6,,
,818,845,06/08/2014,,Jour,,1330,6,,
,598,846,,,Jour,,216,1,,
,166,847,06/08/2014,,Jour,,1809,7,,
,319,848,,,Jour,,1557,4,,
,121,849,,,Jour,,905,7,,
,859,850,,,Jour,,1812,4,,
,476,851,,,Jour,,771,6,,
,63,852,,,Jour,,1371,7,,
,176,853,,,Jour,,319,7,,
,269,854,,,Jour,,199,5,,
,349,855,,,Jour,,1630,6,,
,564,856,04/08/2014,,Jour,,1744,5,,
06/08/2014,742,856,,,Jour,,565,6,,
07/08/2014,663,857,,,Jour,,1853,6,,
,663,857,07/08/2014,,Jour,,133,6,,
,836,858,,,Jour,,1455,5,,
,762,859,,,Jour,,58,6,,
,557,860,18/08/2014,,Jour,,1472,7,,
,821,861,,,Jour,,1423,7,,
,759,862,,,Jour,,1575,6,,
,606,863,,,Jour,,1689,7,,
,366,864,,,Jour,,1384,7,,
,366,865,02/08/2014,,Jour,,1303,5,,
,358,866,,,Jour,,1775,7,,
,387,867,,,Jour,,1856,4,,
,459,868,,,Jour,,152,2,,
,333,869,,,Jour,,1547,7,,
,42,870,,,Jour,,1514,7,,
,324,871,,,Jour,,136,6,,
,225,872,22/08/2014,,Jour,,1772,2,,
,370,873,,,Jour,,1690,7,,
,370,874,,,Jour,,1496,6,,
,866,875,,,Jour,,1740,6,,
,445,876,,,Jour,,1352,6,,
,815,877,,,Jour,,1802,7,,
,530,878,,,Jour,,1462,7,,
,638,879,,,Jour,,889,5,,
,389,880,,,Jour,,1097,6,,
,461,881,,,Jour,,736,7,,
,860,882,,,Jour,,1725,7,,
,103,883,,,Jour,,1614,7,,
,499,884,,,Jour,,738,5,,
,514,885,11/08/2014,,Jour,,1430,1,,
,156,886,,,Jour,,1227,4,,
,280,887,,,Jour,,1233,7,,
,450,888,,,Jour,,1783,7,,
,268,914,,,Jour,,1799,6,,
,462,915,,,Jour,,1129,7,,
,118,916,,,Jour,,49,2,,
,320,917,,,Jour,,1322,2,,
,93,918,,,Jour,,1818,6,,
,79,919,,,Jour,,1604,6,,
,233,920,,,Jour,,1795,5,,
,69,921,,,Jour,,219,6,,
,299,922,,,Jour,,1940,6,,
,50,923,,,Jour,,1669,7,,
,464,924,,,Jour,,22,5,,
,369,925,,,Jour,,1772,7,,
,533,926,,,Jour,,761,4,,
,757,927,,,Jour,,1678,7,,
,829,928,,,Jour,,1939,6,,
,424,929,,,Jour,,570,4,,
03/08/2014,785,930,06/08/2014,,Jour,,463,6,,
,334,930,02/08/2014,,Jour,,8,6,,
01/08/2014,916,930,,,Jour,,188,5,,
,587,931,,,Jour,,1784,7,,
,513,932,,,Jour,,166,4,,
,443,933,,,Jour,,1501,1,,
,184,934,,,Jour,,66,1,,
,446,935,,,Jour,,935,7,,
,736,936,,,Jour,,1001,6,,
,396,937,,,Jour,,1592,5,,
,491,938,,,Jour,,910,4,,
,327,939,,,Jour,,454,7,,
,327,940,,,Jour,,911,5,,
,645,942,,,Jour,,1407,6,,
,624,943,,,Jour,,1321,7,,
,177,944,###############################################################################################################################################################################################################################################################,,Jour,,292,6,,
,160,945,,,Jour,,473,7,,
,314,946,,,Jour,,1384,5,,
,790,947,,,Jour,,1625,5,,
,792,948,,,Jour,,1355,6,,
,53,949,,,Jour,,1514,7,,
,231,950,,,Jour,,1873,7,,
,831,951,,,Jour,,220,1,,
,294,952,,,Jour,,293,3,,
,30,953,,,Jour,,1483,3,,
,714,954,,,Jour,,765,1,,
,487,955,,,Jour,,18,5,,
,137,956,,,Jour,,145,7,,
,831,957,,,Jour,,220,7,,
,272,958,,,Jour,,188,1,,
,685,959,,,Jour,,91,5,,
,844,960,,,Jour,,1075,7,,
,93,961,,,Jour,,6,5,,
01/08/2014,893,962,,,Jour,,188,2,,
,584,962,12/08/2014,,Jour,,91,3,,
,622,963,09/08/2014,,Jour,,1674,5,,
,386,964,,,Jour,,7,6,,
,379,965,12/08/2014,,Jour,,1177,3,,
,7,967,,,Jour,,458,4,,
,259,969,,,Jour,,1958,6,,
,151,972,,,Jour,,1436,6,,
,161,973,,,Jour,,1378,7,,
,811,974,,,Jour,,471,7,,
,793,975,,,Jour,,737,7,,
,455,976,31/07/2014,,Jour,,1570,6,,
