D_affect,P,N,Qualite,Horaire,Type,R,Jour,Arrêt,Placement,Jr_pl
08-Jan-22,4561,922761271,,Jour,,,2,01-Mar-22,,
09-Jan-22,4737,922761272,,Jour,,,7,20-Feb-22,,
10-Jan-22,514J,922761276,,Jour,,530J,7,18-Jan-22,,
09-Jan-22,237J,5641,,Jour,,922761278,4,08-May-22,,
09-Jan-22,237J,922760864,,Jour,,922761278,3,08-May-22,,
09-Jan-22,838N,201327834,,Nuit,,922761278,5,08-May-22,,
09-Jan-22,3826,922760904,,Nuit,,922761278,6,08-May-22,,
09-Jan-22,3444,6294,,Nuit,,922761278,7,10-Jan-22,,
10-Jan-22,4546,917N,,Nuit,,6084,2,08-Jul-22,,
06-Jan-22,4189,2067N,,Jour,,,6,11-Jan-22,,
06-Jan-22,71J,2067N,,Jour,,922760145,3,07-Jan-22,,
06-Jan-22,3556,2067N,,Nuit,,749N,1,12-Jan-22,,
06-Jan-22,4252,2067N,,Nuit,,,,12-Feb-23,,
06-Jan-22,226N,2067N,,Nuit,,593N,1,13-Jan-22,,
06-Jan-22,70N,201327924,,Nuit,,922760130,3,20-Jan-22,,
06-Jan-22,4721,975J,,Jour,,922760145,6,13-Jan-22,,
05-Jan-22,3281,201327669,,Jour,,201327475,7,01-Feb-22,,
10-Jan-22,4776,510J,,Jour,,,,20-Jan-22,,
10-Jan-22,4774,922760676,,Jour,,,,20-Jan-22,,
06-Jan-22,4078,922760891,,Jour,,922759858,7,,,
06-Jan-22,715J,2067N,,Jour,,,7,07-Jan-22,,
08-Jan-22,715J,922760319,,Jour,,,7,05-Feb-23,,
10-Jan-22,2424,735N,,Nuit,,5548,1,24-Mar-22,,
11-Jan-22,4790,2067N,,Jour,,,,12-Jan-22,,
11-Jan-22,4791,1915N,,Nuit,,96N,7,14-Feb-22,,
11-Jan-22,4355,2308N,,Nuit,,6835,3,28-Sep-22,,
10-Jan-22,4792,2067N,,Jour,,,,13-Jan-22,,
11-Jan-22,4793,922761291,,Nuit,,,,21-Mar-22,,
11-Jan-22,4793,2067N,,Nuit,,,,15-Mar-22,,
11-Jan-22,4794,922761273,,Jour,,,,14-Feb-22,,
11-Jan-22,4794,922761275,,Jour,,922760085,6,08-Jun-22,,
11-Jan-22,4794,922761274,,Jour,,922761324,6,23-Nov-22,,
11-Jan-22,4794,390J,,Jour,,922760085,7,22-Feb-22,,
11-Jan-22,4795,1336N,,Nuit,,,,12-Jan-22,,
11-Jan-22,4795,536N,,Nuit,,,,12-Jan-22,,
11-Jan-22,4795,6697,,Nuit,,,,12-Jan-22,,
11-Jan-22,4795,9940,,Nuit,,922760085,4,19-May-23,,
06-Jan-22,4796,2067N,,Jour,,,,19-Jan-22,,
07-Jan-22,4797,922761017,,Nuit,,,,08-Jan-22,,
11-Jan-22,4379,2067N,,Nuit,,,1,12-Jan-22,,
07-Jan-22,3531,9576,,Nuit,,7195,4,24-Mar-22,,
10-Jan-22,3172,8687,,Nuit,,1604J,3,29-Jan-22,,
09-Jan-22,168N,557N,,Nuit,,7519,1,20-Feb-22,,
