D_affect,P,N,Qualite,Horaire,Type,R,Jour,Arrêt,Placement,Jr_pl
,886N,1137N,,Nuit,,5591,2,23-May-17,,
,887N,2218N,,Nuit,,588N,3,05-Aug-14,,
,887N,807N,,Nuit,,1615N,4,31-Jul-14,,
,887N,808N,,Nuit,,1549N,3,28-Feb-15,,
,888N,814N,,Nuit,,1553N,3,10-Jul-16,,
,889J,243J,,Jour,,J,,21-Aug-14,,
,889N,1030N,,Nuit,,1497N,1,15-Nov-14,,
18-Jan-16,88J,0,,Jour,,672J,3,24-Jan-16,,
,88J,594J,,Jour,,2245N,2,16-Feb-16,,
,88N,822N,,Nuit,,1999N,2,16-Feb-15,,
26-Jun-15,890N,422N,,Nuit,,1851N,3,12-Jun-16,,
27-Dec-15,891N,6648,,Nuit,,,3,27-Jan-16,,
,892J,1901J,,Jour,,1946J,5,10-Feb-15,,
,892N,1132N,,Nuit,,28N,4,31-Jul-14,,
,892N,1199N,,Nuit,,1536N,3,04-Sep-14,,
,892N,409N,,Nuit,,1536N,2,12-Aug-14,,
12-May-15,893N,5639,,Nuit,,,3,18-Feb-16,,
,894N,450N,,Nuit,,2156N,2,04-Aug-14,,
,894N,701N,,Nuit,,171N,4,31-Oct-14,,
,895N,1130N,,Nuit,,106N,4,10-Oct-14,,
,896N,828N,,Nuit,,1653N,1,27-Aug-14,,
,896N,830N,,Nuit,,1810N,4,09-Aug-14,,
,896N,831N,,Nuit,,929N,2,04-Aug-14,,
26-Jun-15,896N,5956,,Nuit,,,,06-Apr-16,,
,897N,2066N,,Nuit,,1760N,3,18-Mar-15,,
03-Sep-15,898N,6175,,Nuit,,6124,2,10-May-16,,
,899N,1958N,,Nuit,,206N,2,02-Feb-15,,
,89J,710J,,Jour,,4835,7,14-Jan-15,,
,89N,367N,,Nuit,,2155N,1,15-Mar-15,,
20-Jan-16,8J,5250,,Jour,,163J,7,17-Mar-16,,
04-Aug-15,8J,5880,,Jour,,1556J,1,13-Aug-18,,
,8N,269N,,Nuit,,1754N,2,20-Jan-15,,
,900N,1256N,,Nuit,,1609N,2,17-Jan-15,,
,901N,796N,,Nuit,,2003N,5,16-Sep-14,,
,901N,941N,,Nuit,,1341N,6,25-Aug-14,,
,902N,6285,,Nuit,,,5,05-Apr-16,,
,902N,892N,,Nuit,,,2,15-Nov-16,,
,903N,1331N,,Nuit,,1531N,2,20-Dec-14,,
,904J,1143J,,Jour,,J,,06-Aug-14,,
,904N,1712N,,Nuit,,1910N,4,31-Dec-14,,
,905N,1924N,,Nuit,,4621,3,28-Aug-16,,
13-Oct-15,906N,6009,,Nuit,,6634,1,01-Feb-16,,
,907N,591N,,Nuit,,6476,3,26-Apr-16,,
,908N,1716N,,Nuit,,1464N,1,21-Aug-14,,
,909N,1756N,,Nuit,,1464N,2,03-Aug-14,,
01-Jun-15,90J,1709J,,Jour,,6401,7,12-May-16,,
,90N,1277N,,Nuit,,200N,1,18-Nov-14,,
,90N,319N,,Nuit,,200N,4,09-Dec-14,,
,910N,643N,,Nuit,,16N,1,22-Feb-15,,
,911N,957N,,Nuit,,200N,3,28-Oct-14,,
,912J,548J,,Jour,,J,,14-Aug-14,,
,912N,1051N,,Nuit,,146N,1,15-Oct-14,,
,912N,351N,,Nuit,,143N,2,20-Nov-14,,
,913N,1002N,,Nuit,,2317N,2,25-Oct-14,,
,914J,1949J,,Jour,,1727J,7,14-Dec-14,,
,914N,329N,,Nuit,,2288N,6,19-Feb-17,,
,915N,1724N,,Nuit,,311N,4,10-Oct-14,,
,916N,1725N,,Nuit,,2140N,4,21-Mar-16,,
10-Dec-14,917N,741N,,Nuit,,1387N,2,11-Dec-14,,
04-Feb-16,918J,0,,Nuit,,1553N,6,03-Mar-16,,
04-Feb-16,918J,,,Nuit,,950N,7,03-Mar-16,1942J,7
,918N,1728N,,Nuit,,1816N,3,31-Dec-14,,
,919J,0,,Jour,,,,03-Feb-16,5923,7
