D_affect,P,N,Qualite,Horaire,Type,R,Jour,Arrêt,Placement,Jr_pl
17-Apr-19,3053,978J,,Jour,,,6,20-May-19,,
17-Apr-19,3279,9770,,Nuit,,,2,12-May-19,,
17-Apr-19,119N,1089N,,Nuit,,,1,14-May-19,,
,2495,10050,,Nuit,,,3,04-Jun-19,,
30-Mar-19,46N,10400,,Nuit,,454N,3,21-Apr-19,,
28-Mar-19,2158,10397,,Nuit,,6307,2,08-Sep-20,,
10-Apr-19,490J,10394,,Jour,,10204,7,01-May-19,,
10-Apr-19,3734,10393,,Jour,,,,01-Mar-20,,
10-Apr-19,400J,10391,,Jour,,6440,7,30-Nov-19,,
11-Apr-19,217J,10380,,Jour,,9804,1,14-Sep-19,,
10-Apr-19,3710,10379,,Nuit,,745N,2,12-Sep-20,,
17-Apr-19,3690,10290,,Jour,,,7,21-Apr-19,,
18-Apr-19,653J,706N,,Jour,,6041,6,28-Feb-20,,
18-Apr-19,929J,6917,,Jour,,10063,7,20-May-19,,
18-Apr-19,3269,325N,,Nuit,,852N,1,14-Aug-19,,
18-Apr-19,3264,1068J,,Jour,,,,08-Jan-20,,
18-Apr-19,440N,622N,,Nuit,,7729,2,20-Sep-19,,
18-Apr-19,3035,1551N,,Nuit,,9712,5,22-Mar-20,,
18-Apr-19,2803,5886,,Nuit,,,3,27-Apr-19,,
18-Apr-19,2804,10168,,Jour,,,5,27-Apr-19,,
18-Apr-19,2482,10457,,Nuit,,,2,01-Jun-19,,
18-Apr-19,927N,629N,,Nuit,,,4,14-May-19,,
18-Apr-19,927N,2219N,,Nuit,,,3,14-May-19,,
18-Apr-19,108N,5311,,Nuit,,10008,3,14-May-19,,
18-Apr-19,442J,245J,,Jour,,,7,21-May-19,,
18-Apr-19,2527,7429,,Nuit,,,3,15-May-19,,
18-Apr-19,774N,767N,,Nuit,,,1,12-May-19,,
18-Apr-19,774N,5097,,Nuit,,,2,12-May-19,,
18-Apr-19,2323,721J,,Jour,,,6,20-May-19,,
18-Apr-19,2748,10224,,Jour,,,5,21-Apr-19,,
18-Apr-19,377N,4572,,Nuit,,,3,21-May-19,,
18-Apr-19,383N,9180,,Nuit,,,4,20-May-19,,
18-Apr-19,529N,5459,,Nuit,,,6,23-Jun-19,,
18-Apr-19,2157,7342,,Nuit,,,5,20-May-19,,
18-Apr-19,21N,946N,,Nuit,,,3,17-Apr-19,,
18-Apr-19,3746,2067N,,Nuit,,1213J,3,12-May-19,,
18-Apr-19,21N,946N,,Nuit,,5406,6,27-Aug-19,,
22-Apr-19,2198,1065N,,Nuit,,6617,3,25-Jul-19,,
22-Apr-19,3749,679N,,Nuit,,,1,12-May-19,,
22-Apr-19,2101,395N,,Nuit,,339N,1,06-May-19,,
22-Apr-19,954N,1162N,,Nuit,,8848,3,12-Jul-19,,
22-Apr-19,3274,9347,,Nuit,,7015,1,05-Dec-19,,
22-Apr-19,2248,2034N,,Nuit,,1659N,1,12-May-19,,
22-Apr-19,770N,5038,,Nuit,,9337,1,12-May-19,,
22-Apr-19,2845,9709,,Nuit,,549J,2,01-May-19,,
22-Apr-19,3277,9263,,Nuit,,9184,3,12-May-19,,
22-Apr-19,3278,2067N,,Jour,,9184,7,27-Apr-19,,
22-Apr-19,3729,2067N,,Jour,,,,22-Apr-19,,
22-Apr-19,3533,2067N,,Nuit,,,,22-Apr-19,,
22-Apr-19,160J,945J,,Jour,,,7,19-Jan-20,,
22-Apr-19,12J,251J,,Jour,,8275,7,18-Jun-19,,
22-Apr-19,3706,10312,,Jour,,10360,5,20-May-19,,
22-Apr-19,2999,1828J,,Jour,,1250N,7,01-Jul-19,,
22-Apr-19,3704,1064J,,Jour,,,7,12-May-19,,
22-Apr-19,34J,7146,,Jour,,10237,7,25-Oct-19,,
22-Apr-19,3626,10289,,Jour,,9571,7,14-Jul-19,,
22-Apr-19,80J,4818,,Jour,,566N,7,03-May-20,,
22-Apr-19,80J,8055,,Jour,,6774,6,31-Mar-20,,
22-Apr-19,192J,2067N,,Jour,,10101,7,17-Aug-19,,
22-Apr-19,55J,999J,,Jour,,,7,17-Aug-20,,
22-Apr-19,2779,5595,,Jour,,6774,7,08-Apr-20,,
22-Apr-19,3651,10205,,Jour,,10331,7,15-Jun-19,,
22-Apr-19,3690,10290,,Jour,,8449,7,17-Jul-19,,
22-Apr-19,3689,456N,,Nuit,,8449,1,17-Jul-19,,
22-Apr-19,3681,9796,,Nuit,,,3,20-May-19,,
22-Apr-19,292N,2366N,,Nuit,,339N,2,06-May-19,,
22-Apr-19,2278,10061,,Nuit,,9053,4,04-May-19,,
22-Apr-19,508N,5275,,Nuit,,9139,5,12-Jun-19,,
22-Apr-19,3637,5607,,Jour,,9243,7,08-Jul-19,,
22-Apr-19,517J,2067N,,Jour,,9117,6,17-May-19,,
22-Apr-19,2164,10023,,Jour,,10396,7,20-May-19,,
22-Apr-19,3602,10117,,Jour,,10182,7,21-May-19,,
22-Apr-19,3614,10120,,Jour,,,7,22-Apr-19,,
22-Apr-19,676J,2067N,,Jour,,5911,7,17-Aug-19,,
22-Apr-19,3392,1267J,,Jour,,10029,7,28-Apr-19,,
22-Apr-19,2190,917N,,Nuit,,6617,2,09-Jul-19,,
22-Apr-19,3430,696N,,Nuit,,6064,1,28-Sep-19,,
22-Apr-19,2825,5330,,Nuit,,1481J,3,18-Oct-20,,
22-Apr-19,3014,8923,,Nuit,,10236,2,14-Jul-19,,
22-Apr-19,3739,10390,,Nuit,,,,12-May-19,,
22-Apr-19,3740,10383,,Nuit,,,,22-Apr-19,,
22-Apr-19,3737,10435,,Nuit,,,,23-Apr-19,,
22-Apr-19,2871,9268,,Nuit,,1799N,1,12-May-19,,
22-Apr-19,2701,4490,,Nuit,,8838,3,11-Apr-20,,
22-Apr-19,3272,9807,,Nuit,,9998,4,02-Jun-19,,
22-Apr-19,161N,2067N,,Nuit,,,3,06-May-19,,
22-Apr-19,454N,2067N,,Nuit,,,6,01-Jun-19,,
22-Apr-19,812J,10160,,Jour,,243N,7,25-Jan-20,,
22-Apr-19,367J,1071J,,Jour,,,5,04-Jan-20,,
22-Apr-19,3422,10128,,Jour,,10220,5,21-Apr-19,,
22-Apr-19,3664,8981,,Jour,,10363,6,20-Apr-20,,
22-Apr-19,480J,10375,,Jour,,10363,2,05-Jul-20,,
22-Apr-19,3656,10256,,Jour,,10363,3,18-Jan-20,,
21-Apr-19,480J,10340,,Jour,,10363,7,22-May-19,,
22-Apr-19,2176,5258,,Jour,,6746,6,09-May-19,,
22-Apr-19,547J,1141J,,Jour,,6746,7,09-May-19,,
22-Apr-19,330J,732J,,Jour,,5108,6,08-Sep-19,,
22-Apr-19,73J,10318,,Jour,,7781,2,10-Dec-19,,
22-Apr-19,2889,1260J,,Jour,,9243,6,17-Jun-19,,
22-Apr-19,3679,9391,,Jour,,9470,6,12-May-19,,
22-Apr-19,3063,10448,,Jour,,8875,5,23-Oct-20,,
22-Apr-19,2955,1898J,,Jour,,,6,05-May-19,,
22-Apr-19,3747,9618,,Jour,,1213J,6,30-Nov-19,,
22-Apr-19,2838,7532,,Jour,,1213J,7,21-Oct-19,,
22-Apr-19,1J,8707,,Jour,,,6,12-May-19,,
22-Apr-19,676J,1168J,,Jour,,,7,17-Aug-19,,
22-Apr-19,99N,8947,,Nuit,,,2,14-May-19,,
22-Apr-19,3478,9740,,Nuit,,5911,4,12-Jan-20,,
22-Apr-19,356N,10278,,Nuit,,,1,12-May-19,,
23-Apr-19,3750,2067N,,Jour,,,,14-May-19,,
23-Apr-19,3751,2067N,,Nuit,,,,22-Apr-19,,
23-Apr-19,3751,10462,,Nuit,,,,08-Aug-19,,
22-Apr-19,822N,2067N,,Nuit,,,7,27-Apr-19,,
22-Apr-19,93J,2067N,,Jour,,,,22-Apr-19,,
22-Apr-19,112N,9402,,Nuit,,10164,4,07-Nov-19,,
22-Apr-19,2763,4719,,Nuit,,,1,12-May-19,,
22-Apr-19,2763,9278,,Nuit,,,2,12-May-19,,
22-Apr-19,3113,5817,,Nuit,,1311N,2,12-Jul-19,,
22-Apr-19,2725,6570,,Nuit,,9280,1,23-Jun-19,,
22-Apr-19,3035,8256,,Nuit,,9712,6,12-May-19,,
22-Apr-19,2358,7433,,Nuit,,,1,12-May-19,,
22-Apr-19,46N,10400,,Nuit,,,3,15-May-19,,
22-Apr-19,750J,9169,,Jour,,6564,5,05-Sep-20,,
22-Apr-19,208J,7759,,Jour,,7588,1,01-Jan-20,,
23-Apr-19,3614,10120,,Jour,,10182,1,21-May-19,,
22-Apr-19,3702,10037,,Jour,,5676,2,26-Jun-19,,
22-Apr-19,47J,10194,,Jour,,5676,4,01-Aug-19,,
22-Apr-19,282N,9267,,Nuit,,5676,5,27-Apr-19,,
22-Apr-19,291J,603J,,Jour,,5676,6,02-Jun-19,,
22-Apr-19,691J,430J,,Jour,,9783,5,01-Aug-19,,
22-Apr-19,3412,9584,,Jour,,7588,5,07-Dec-19,,
22-Apr-19,480J,8422,,Jour,,,5,05-Mar-20,,
22-Apr-19,171J,320J,,Jour,,1556J,6,30-Nov-22,,
22-Apr-19,3384,1228J,,Jour,,6564,7,14-May-19,,
22-Apr-19,2520,1102N,,Jour,,,7,02-Jun-19,,
22-Apr-19,112J,7931,,Jour,,10360,1,18-Jun-19,,
22-Apr-19,112J,648J,,Jour,,,5,20-May-19,,
22-Apr-19,545J,10067,,Jour,,220J,3,08-Sep-21,,
22-Apr-19,2374,395J,,Jour,,10411,5,19-Nov-19,,
22-Apr-19,2748,10224,,Jour,,7972,5,27-Apr-19,,
22-Apr-19,689N,10072,,Nuit,,655J,1,12-Jun-19,,
22-Apr-19,3349,8986,,Nuit,,,1,20-May-19,,
22-Apr-19,3344,9388,,Jour,,,7,09-May-19,,
22-Apr-19,3422,10128,,Jour,,,5,20-May-19,,
22-Apr-19,3423,7882,,Nuit,,,2,15-May-19,,
22-Apr-19,3423,10148,,Nuit,,,3,15-May-19,,
22-Apr-19,3331,1128J,,Jour,,,6,14-May-19,,
22-Apr-19,48N,2067N,,Nuit,,9094,2,29-Jan-20,,
22-Apr-19,344J,10323,,Jour,,,5,25-Jul-19,,
22-Apr-19,2074,9701,,Jour,,10395,6,07-Jun-19,,
22-Apr-19,888J,1849J,,Jour,,7084,6,11-Apr-20,,
22-Apr-19,2978,9751,,Jour,,10396,6,20-May-19,,
22-Apr-19,2978,10145,,Jour,,10244,3,14-Apr-20,,
22-Apr-19,506J,1245J,,Jour,,1001J,6,03-Aug-20,,
22-Apr-19,506J,5471,,Jour,,,7,27-Oct-19,,
22-Apr-19,3610,5535,,Jour,,,6,04-Jan-20,,
22-Apr-19,671J,5604,,Jour,,,6,27-Sep-19,,
22-Apr-19,2205,5998,,Jour,,,7,04-Mar-20,,
22-Apr-19,714J,8490,,Jour,,,5,20-Oct-19,,
23-Apr-19,9J,7718,,Jour,,,2,31-Jul-19,,
23-Apr-19,506N,9354,,Nuit,,9456,2,27-Sep-19,,
23-Apr-19,2884,8929,,Nuit,,1799N,4,04-May-19,,
23-Apr-19,2767,650J,,Jour,,9975,7,29-Mar-20,,
23-Apr-19,968N,2067N,,Nuit,,,3,21-Oct-19,,
23-Apr-19,831J,9935,,Jour,,9717,2,30-Jun-19,,
22-Apr-19,3752,2067N,,Jour,,,,20-May-19,,
22-Apr-19,3752,2067N,,Jour,,,,20-May-19,,
22-Apr-19,3753,2067N,,Nuit,,,,23-Apr-19,,
22-Apr-19,3753,2067N,,Nuit,,,,23-Apr-19,,
22-Apr-19,3754,2067N,,Jour,,,,16-May-19,,
22-Apr-19,3755,2067N,,Nuit,,,,07-Sep-19,,
23-Apr-19,68N,2067N,,Nuit,,1774N,1,27-Apr-19,,
24-Apr-19,3079,2067N,,Nuit,,9105,5,28-Apr-19,,
23-Apr-19,3078,2067N,,Jour,,9428,7,25-Apr-19,,
23-Apr-19,3756,2067N,,Jour,,,,20-May-19,,
11-Apr-19,521N,10420,,Nuit,,7660,6,18-Jun-19,,
12-Apr-19,372J,10419,,Jour,,9814,3,03-Feb-20,,
12-Apr-19,3680,10415,,Jour,,10273,6,27-Apr-19,,
11-Apr-19,3451,10418,,Nuit,,2073N,3,21-Jan-20,,
11-Apr-19,3632,10416,,Nuit,,10184,2,24-Apr-21,,
15-Apr-19,3569,6513,,Jour,,,,12-Jun-19,,
12-Apr-19,3744,10412,,Nuit,,,1,20-May-19,,
13-Apr-19,3200,7482,,Nuit,,6963,6,12-Jun-19,,
18-Apr-19,525N,10459,,Nuit,,,3,18-Feb-20,,
18-Apr-19,525N,8202,,Nuit,,7563,1,08-Sep-19,,
18-Apr-19,316N,9590,,Nuit,,593N,5,14-Oct-19,,
23-Apr-19,93J,10455,,Jour,,,,20-Sep-19,,
23-Apr-19,3751,1318J,,Nuit,,,,27-Apr-19,,
22-Apr-19,2207,8460,,Jour,,844J,4,06-Aug-19,,
22-Apr-19,2J,9710,,Jour,,,5,10-Sep-19,,
23-Apr-19,3740,9219,,Nuit,,,,12-May-19,,
24-Apr-19,3737,10383,,Nuit,,,,19-Apr-19,,
24-Apr-19,414N,9255,,Nuit,,10343,1,04-Apr-20,,
24-Apr-19,3753,8219,,Nuit,,,,20-May-19,,
24-Apr-19,90N,9973,,Nuit,,1703J,4,04-May-19,,
24-Apr-19,902N,10423,,Nuit,,6405,1,14-Oct-19,,
24-Apr-19,299N,8292,,Nuit,,7321,4,22-Jul-19,,
24-Apr-19,3753,10268,,Nuit,,,,14-May-19,,
24-Apr-19,3616,2067N,,Jour,,,,20-May-19,,
24-Apr-19,3617,10144,,Nuit,,10367,1,07-Nov-19,,
24-Apr-19,3573,8729,,Nuit,,10367,3,12-Sep-20,,
24-Apr-19,551N,9962,,Nuit,,10367,4,12-Aug-19,,
24-Apr-19,791J,6650,,Jour,,10367,6,07-Oct-19,,
24-Apr-19,3720,10347,,Nuit,,10367,2,30-Jun-19,,
24-Apr-19,3719,10341,,Jour,,10367,7,20-May-19,,
24-Apr-19,2658,555J,,Jour,,1327N,7,06-Jul-19,,
24-Apr-19,1980,9567,,Jour,,8412,7,20-May-19,,
26-Apr-19,2302,1134J,,Jour,,6073,7,10-Jun-19,,
26-Apr-19,3345,366J,,Jour,,9639,1,25-Apr-19,,
26-Apr-19,101J,2067N,,Jour,,9327,6,03-Jun-19,,
25-Apr-19,367J,10335,,Jour,,7208,7,14-May-19,,
25-Apr-19,3290,766J,,Jour,,,6,01-May-19,,
26-Apr-19,3078,9726,,Jour,,9428,7,28-Aug-20,,
26-Apr-19,2318,5844,,Nuit,,,3,12-May-19,,
26-Apr-19,2590,7360,,Jour,,,6,07-Jul-19,,
26-Apr-19,3346,668N,,Nuit,,,4,28-Apr-19,,
26-Apr-19,2327,5839,,Jour,,,7,04-Aug-19,,
26-Apr-19,2589,7361,,Nuit,,,2,18-Jun-19,,
26-Apr-19,3345,366J,,Jour,,,1,20-May-19,,
26-Apr-19,183N,7172,,Nuit,,1250N,4,14-Sep-19,,
26-Apr-19,3728,10398,,Nuit,,,,20-May-19,,
26-Apr-19,3256,10373,,Nuit,,852N,7,10-Feb-20,,
26-Apr-19,314N,10410,,Nuit,,6061,2,02-Oct-19,,
26-Apr-19,3104,8084,,Nuit,,7548,1,12-May-19,,
26-Apr-19,441J,5504,,Jour,,10066,7,10-Sep-19,,
26-Apr-19,441J,5481,,Jour,,10066,6,04-Aug-19,,
26-Apr-19,388N,1064N,,Nuit,,10066,1,02-Oct-20,,
26-Apr-19,426N,1006N,,Nuit,,10066,3,07-Dec-19,,
26-Apr-19,426N,2010N,,Nuit,,10066,2,20-Aug-19,,
26-Apr-19,3474,1885J,,Jour,,7367,5,20-May-19,,
26-Apr-19,3002,1024N,,Nuit,,7367,3,20-May-19,,
26-Apr-19,3002,5306,,Nuit,,7367,2,20-May-19,,
26-Apr-19,2685,420N,,Nuit,,7367,7,15-May-19,,
26-Apr-19,2685,1193N,,Nuit,,7367,1,20-May-19,,
28-Apr-19,2803,5886,,Nuit,,7972,3,14-May-19,,
28-Apr-19,2804,10168,,Jour,,7972,5,04-May-19,,
28-Apr-19,2748,10224,,Jour,,,5,18-Sep-19,,
27-Apr-19,3757,2067N,,Jour,,,,28-Apr-19,,
28-Apr-19,3758,959N,,Nuit,,1499N,2,21-May-19,,
28-Apr-19,3398,8699,,Jour,,10363,1,09-May-19,,
28-Apr-19,2795,2067N,,Jour,,10077,1,29-Apr-19,,
28-Apr-19,866J,2067N,,Jour,,2188N,6,20-May-19,,
28-Apr-19,836J,1976J,,Jour,,10452,7,01-Jul-19,,
28-Apr-19,2003,8249,,Jour,,10452,5,13-Oct-19,,
28-Apr-19,2003,1117J,,Jour,,10452,1,13-Oct-19,,
28-Apr-19,2003,4550,,Jour,,10452,4,13-Oct-19,,
28-Apr-19,2003,4854,,Jour,,10452,3,02-Jun-19,,
28-Apr-19,2003,2067N,,Jour,,10452,2,04-Jun-19,,
28-Apr-19,3278,8716,,Jour,,9184,7,20-May-19,,
28-Apr-19,127N,2067N,,Nuit,,2231N,4,30-Apr-19,,
28-Apr-19,394N,2067N,,Nuit,,9026,4,07-May-19,,
28-Apr-19,3680,10415,,Jour,,10273,6,29-Apr-19,,
28-Apr-19,373N,10415,,Nuit,,9982,1,28-Apr-19,,
28-Apr-19,282N,9267,,Nuit,,,4,26-Jun-19,,
28-Apr-19,105J,986J,,Jour,,5676,5,04-Aug-19,,
28-Apr-19,3645,2096N,,Nuit,,7043,3,07-Dec-19,,
28-Apr-19,3244,2183N,,Nuit,,9186,3,20-May-19,,
28-Apr-19,899N,2067N,,Nuit,,4877,4,04-May-19,,
28-Apr-19,3723,2067N,,Nuit,,6084,7,12-May-19,,
28-Apr-19,3517,6577,,Jour,,,2,20-May-19,,
28-Apr-19,3487,9816,,Jour,,,6,05-May-19,,
28-Jun-19,3342,1901J,,Jour,,9983,7,09-Jun-20,,
28-Apr-19,2922,1033N,,Jour,,,5,18-Aug-19,,
28-Apr-19,3144,8648,,Jour,,,4,04-Aug-19,,
28-Jul-19,2730,7620,,Jour,,,1,01-Jun-19,,
28-Jul-19,3722,2067N,,Jour,,6084,6,16-May-19,,
28-Apr-19,2248,8893,,Nuit,,,1,12-May-19,,
28-Apr-19,822N,2067N,,Nuit,,8347,7,01-May-19,,
29-Apr-19,3759,2067N,,Jour,,,,01-May-19,,
29-Apr-19,3759,2067N,,Jour,,,,20-May-19,,
29-Apr-19,3760,9124,,Nuit,,,4,08-Jun-19,,
29-Apr-19,3760,9696,,Nuit,,,3,20-May-19,,
28-Apr-19,3751,2067N,,Nuit,,,,14-May-19,,
28-Apr-19,68N,1318J,,Nuit,,1774N,1,10-Jul-19,,
29-Apr-19,493J,7317,,Jour,,10454,2,18-Jun-19,,
29-Apr-19,683J,8492,,Jour,,2031J,6,20-May-19,,
29-Apr-19,344J,8086,,Jour,,,7,03-Feb-20,,
30-Apr-19,2795,852J,,Jour,,10077,1,12-May-19,,
29-Apr-19,3738,10433,,Jour,,884J,1,16-May-19,,
29-Apr-19,3741,2067N,,Jour,,884J,2,20-May-19,,
29-Apr-19,3736,10436,,Jour,,884J,3,16-May-19,,
29-Apr-19,3736,10434,,Jour,,884J,4,06-Jul-19,,
29-Apr-19,758J,1159J,,Jour,,10370,2,04-Aug-19,,
02-May-19,2845,2037N,,Nuit,,549J,2,12-May-19,,
26-Apr-19,415J,10422,,Jour,,7861,6,01-May-19,,
29-Apr-19,373N,10425,,Nuit,,9982,1,06-Aug-20,,
29-Apr-19,3145,9621,,Nuit,,8679,2,28-May-19,,
29-Apr-19,3079,564J,,Nuit,,9105,5,04-Jun-19,,
29-Apr-19,3048,1160N,,Nuit,,10209,6,16-May-19,,
29-Apr-19,30N,709N,,Nuit,,1656N,5,20-Oct-19,,
29-Apr-19,662N,5581,,Nuit,,12N,5,10-Mar-20,,
29-Apr-19,413N,10399,,Nuit,,10254,3,23-Jun-19,,
29-Apr-19,474J,2067N,,Jour,,9735,6,20-May-19,,
29-Apr-19,3757,8937,,Jour,,1499N,6,20-May-19,,
29-Apr-19,3392,1267J,,Jour,,,7,17-Aug-19,,
29-Apr-19,3382,10094,,Jour,,10029,7,12-Apr-20,,
29-Apr-19,262J,10356,,Jour,,,7,29-Apr-19,,
29-Apr-19,3685,10267,,Jour,,10456,7,11-Jan-20,,
29-Apr-19,352J,7303,,Jour,,,7,12-May-19,,
29-Apr-19,3283,2067N,,Jour,,,7,01-May-19,,
29-Apr-19,834J,964J,,Jour,,,6,21-Jan-20,,
29-Apr-19,13J,8717,,Jour,,5676,1,03-Jun-19,,
29-Apr-19,2726,10358,,Jour,,4972,5,16-May-19,,
01-May-19,127N,9709,,Nuit,,2231N,4,12-Jun-19,,
29-Apr-19,429J,2067N,,Jour,,9947,4,06-May-19,,
29-Apr-19,3731,266J,,Jour,,,,30-Jun-19,,
29-Apr-19,567J,8006,,Jour,,8393,7,11-Oct-19,,
29-Apr-19,3088,2067N,,Jour,,549J,5,02-May-19,,
29-Apr-19,2267,1176J,,Jour,,10204,7,26-Jul-19,,
29-Apr-19,998N,9181,,Nuit,,,3,21-May-19,,
29-Apr-19,882N,2067N,,Nuit,,,,30-Apr-19,,
29-Apr-19,3633,2067N,,Jour,,,,02-May-19,,
30-Apr-19,262J,9580,,Jour,,,7,09-May-19,,
01-May-19,2039,663N,,Nuit,,1036N,1,27-Aug-19,,
01-May-19,2047,2067N,,Jour,,,,20-May-19,,
01-May-19,2039,5719,,Nuit,,1036N,2,27-Aug-19,,
29-Apr-19,3346,2067N,,Nuit,,,4,15-May-19,,
29-Apr-19,3735,10446,,Nuit,,,1,02-Aug-19,,
29-Apr-19,3735,10445,,Nuit,,,2,02-Aug-19,,
02-May-19,70N,2067N,,Nuit,,944N,3,02-May-19,,
02-May-19,185N,10174,,Nuit,,8189,1,15-May-19,,
02-May-19,461N,2067N,,Nuit,,9325,1,15-May-19,,
30-Apr-19,3680,2067N,,Jour,,10273,6,30-Nov-19,,
30-Apr-19,3647,10415,,Nuit,,10273,2,10-Jul-20,,
02-May-19,126N,10070,,Nuit,,,1,12-May-19,,
01-May-19,126N,930N,,Nuit,,1509J,2,02-Jul-19,,
02-May-19,126N,,,Nuit,,,1,02-May-19,,
02-May-19,3531,9576,,Nuit,,374N,4,15-Dec-19,,
02-May-19,415J,10482,,Jour,,7861,6,08-Aug-19,,
02-May-19,822N,10422,,Nuit,,8347,7,04-May-19,,
02-May-19,227N,7895,,Nuit,,7754,5,18-Jun-19,,
02-May-19,673N,9047,,Nuit,,7920,2,04-Jun-19,,
02-May-19,206N,9881,,Nuit,,10396,4,20-May-19,,
02-May-19,2159,5277,,Nuit,,6084,4,02-Dec-19,,
03-May-19,3761,10485,,Nuit,,,,17-Aug-19,,
02-May-19,935N,2067N,,Nuit,,9325,4,15-May-19,,
03-May-19,123J,201327395,,Jour,,1656N,3,24-Aug-19,,
03-May-19,659J,2067N,,Jour,,9953,6,07-May-19,,
03-May-19,3633,2017J,,Jour,,,,24-Jun-19,,
03-May-19,3309,2067N,,Jour,,,7,05-May-19,,
03-May-19,156N,1234N,,Nuit,,10396,2,20-May-19,,
03-May-19,3662,10011,,Nuit,,10396,3,20-May-19,,
03-May-19,2206,9700,,Jour,,884J,6,24-Oct-19,,
03-May-19,70N,4537,,Nuit,,944N,3,04-May-19,,
03-May-19,239N,1343N,,Nuit,,6746,2,09-May-19,,
03-May-19,985N,6964,,Nuit,,6746,3,09-May-19,,
03-May-19,134N,9759,,Nuit,,6746,4,09-May-19,,
05-May-19,2171,2067N,,Nuit,,6158,1,07-May-19,,
05-May-19,980N,10146,,Nuit,,9203,3,02-Jun-19,,
05-May-19,980N,6191,,Nuit,,243N,4,28-Mar-20,,
05-May-19,3212,10470,,Nuit,,9953,4,24-Jun-19,,
05-May-19,573N,8238,,Nuit,,593N,2,04-Mar-22,,
05-May-19,90N,319N,,Nuit,,1703J,4,08-Jul-19,,
05-May-19,2353,7097,,Nuit,,7043,2,16-Feb-20,,
05-May-19,2278,5488,,Nuit,,9053,4,12-Jan-20,,
05-May-19,2790,4537,,Nuit,,10190,2,04-Aug-19,,
05-May-19,70N,7910,,Nuit,,944N,3,20-Oct-19,,
05-May-19,621N,9352,,Nuit,,10190,3,21-May-19,,
05-May-19,3488,9789,,Nuit,,9243,3,20-May-19,,
05-May-19,3733,10443,,Nuit,,10430,1,26-Jun-19,,
05-May-19,3733,10444,,Nuit,,10430,2,02-Nov-19,,
05-May-19,3730,10389,,Nuit,,10430,7,01-Jun-20,,
05-May-19,3730,10388,,Nuit,,10430,6,11-Apr-20,,
05-May-19,3730,10387,,Nuit,,10430,5,06-May-20,,
05-May-19,3730,10386,,Nuit,,10430,4,07-Apr-20,,
05-May-19,721N,5660,,Nuit,,1734N,3,20-May-19,,
05-May-19,2884,1073N,,Nuit,,1799N,4,26-Jun-19,,
05-May-19,2884,7774,,Nuit,,1799N,3,14-May-19,,
05-May-19,899N,10165,,Nuit,,4877,4,20-May-19,,
05-May-19,822N,10422,,Nuit,,,7,20-May-19,,
05-May-19,646N,2067N,,Nuit,,6830,4,06-May-19,,
05-May-19,311J,598J,,Jour,,9142,6,12-Apr-20,,
05-May-19,3318,10168,,Jour,,2216N,5,20-May-19,,
05-May-19,2804,1082J,,Jour,,7972,5,14-May-19,,
05-May-19,409J,2067N,,Jour,,9947,3,06-May-19,,
05-May-19,3434,8250,,Jour,,10427,7,17-Jul-19,,
05-May-19,307J,306J,,Jour,,5J,1,06-Apr-20,,
05-May-19,778J,1149J,,Jour,,566N,6,04-Jan-20,,
05-May-19,2735,934J,,Jour,,9280,7,29-Mar-20,,
05-May-19,2735,782J,,Jour,,9280,6,25-Apr-20,,
05-May-19,3566,6489,,Jour,,5676,7,22-Jul-19,,
07-May-19,3552,673J,,Jour,,,2,27-Jun-19,,
07-May-19,1999,2067N,,Jour,,,7,26-Jun-19,,
07-May-19,257J,9627,,Jour,,,6,26-Jun-19,,
07-May-19,263J,10123,,Jour,,,5,10-Sep-19,,
07-May-19,429J,2067N,,Jour,,,4,20-May-19,,
06-May-19,409J,2067N,,Jour,,,3,23-Jun-19,,
07-May-19,662N,2067N,,Nuit,,12N,6,13-Oct-19,,
07-May-19,662N,10350,,Nuit,,9822,1,23-Jun-19,,
25-Apr-19,3256,9060,,Nuit,,8914,7,01-Jun-19,,
10-Apr-19,2004,9899,,Nuit,,8914,6,02-Dec-19,,
07-May-19,477N,2067N,,Nuit,,5571,1,23-Jun-19,,
10-May-19,662N,9978,,Nuit,,,,01-Jun-19,,
06-May-19,2512,363N,,Nuit,,5108,3,12-Jul-19,,
06-May-19,2508,7644,,Jour,,5108,1,24-Jun-19,,
06-May-19,2798,7964,,Jour,,5108,7,24-Nov-19,,
06-May-19,3089,6548,,Nuit,,5108,2,24-Sep-19,,
06-May-19,2797,6341,,Nuit,,5108,4,14-Oct-19,,
06-May-19,2120,9522,,Nuit,,9304,2,15-May-19,,
06-May-19,803J,608J,,Jour,,9304,6,15-May-19,,
06-May-19,866N,5271,,Nuit,,9304,3,15-May-19,,
06-May-19,858N,1214N,,Nuit,,9304,4,15-May-19,,
06-May-19,276J,419J,,Jour,,,1,21-May-19,,
06-May-19,2124,4499,,Jour,,9304,7,15-May-19,,
06-May-19,450J,9301,,Jour,,10370,6,04-Aug-19,,
06-May-19,846J,669J,,Jour,,10427,6,17-Jul-19,,
06-May-19,3487,9816,,Jour,,9916,6,24-Jun-19,,
06-May-19,2478,2067N,,Jour,,10472,1,16-May-19,,
06-May-19,3429,9738,,Jour,,6064,7,01-Jun-19,,
06-May-19,2955,1898J,,Jour,,10414,6,27-Oct-19,,
06-May-19,3309,9208,,Jour,,,7,26-Jul-19,,
06-May-19,843N,8190,,Nuit,,,3,04-Jun-19,,
